paper_id,duration,cash_tillage,control_species,trtmt_species,control_seeddensity,trtmt_seeddensity,cash_cultivar,cash_genetics
4000,2018-1,ridges for vines,sweet potato,maize-sweet potato,120 vines 30 cm apart,60 cm by 50 cm between maize and vines,NA,NA
4001,2017-2,NA,maize,maize-bean; maize-cowpea; maize-green gam; maize-groundnut; maize-desmodium-brachiaria,75 cm x 30 cm spacing,75 cm x 75 cm inter and intra row spacing with brachiaria planted around in three rows distant with a spacing of 50 cm within rows,NA,NA
4002,2017-2,NA,potato; lima bean; dolichos,potato-lima bean; potato-dolichos,NA,"1 row of potato alternating with 1 row of legumes. Potatoes were planted at a uniform depth of 0.1 m on pre-hilled ridges.Two
legume bean seeds were planted per hole at within row
spacing of 0.2 m and inter-row spacing of 0.75 m
between potato and legume strips, and 0.5 m between
2 legume strips.",NA,NA
4003,1981-2,NA,maize; cowpea; sorghum;,maize-cowpea; sorghum-cowpea; maize-sorghum; maize-cowpea-sorghum,"40,000 plants/ha; 120,000 plants/ha; 80,000 plants/ha",1 maize: 2 sorghum: 3 cowpea; substitutie model to maintain uniform carrying capacity per unit area,Katumani (East African Variety); Ex-Luanda; Serena,NA
4004,1983-3,NA,sorghum,sorghum-maize; sorghum-cowpea; sorghum-cowpea-maize,NA,NA,Serena (sorghum); Katumani composit B (maize); Ex-Luanda (cowpea),NA
4005,1982-6,NA,Acacia albida,Acacia albida-maize; Acacia albida-green gram,"2,500 trees/ha with 4 m row spacings",NA,maize (Coast Composite variety),NA
4006,1988-2,NA,cowpea,cowpea-maize,"110,110 plants/ha","110,110 plants/ha; 37,000 plants/ha",ER 1-1 from Nigeria; Coast Composite from Coast Province of Kenya,NA
4007,1986-2,NA,bean,maize-bean,9.2 to 5.6 bean plants/m^2,NA,Mwezi Moja NB 518 bean,NA
4008,1995-1,NA,maize,maize-bean,NA,NA,NA,NA
4009,1995-3,NA,natural fallow,sesbania; crotalaria (Crotalaria agatiflora); maize,NA,NA,NA,NA
4010,1989-4,NA,maize,Leucanena-maize; Leucanena-maize-cowpea,"40,000 plants/ha","5 m rows with 8,000 trees/ha, 1 m to maize row at 32,000 plants/ha, cowpea planted 30 cm between maize rows at 67,000 plants/ha",Coast Composite or Pwani hybrid II; Leucaena variety K28 (Salavdorian type); Katumani 80,NA
4011,1990-1,NA,maize; bean,maize-bean,variable (average results recorded),variable (average results recorded),NA,NA
