paper_id,doi,authors,authors_abbrev,pubyear,journal,volume_issue,title,pages,readername,dateread
4000,10.1016/j.cropro.2020.105311,"Maina, H., Karuri, H., Rotich, F., & Nyabuga",Maina et al.,2020,Crop Protection,137,Impact of low-cost management techniques on population dynamics of plant-parasitic nematodes in sweet potato,105311,LWA,1/22/2021
4001,10.1016/j.fcr.2020.107911,"Ndayisaba, P.C., Kuyahb, S.,  Midega. C.A.O., Mwangi, P.N., & Khan, Z.R.",Ndayisaba et al.,2020,Field Crops Research,256,Push-pull technology improves maize grain yield and total aboveground biomass in maize-based systems in Western Kenya,107911,LWA,1/22/2021
4002,10.1007/s10705-020-10054-0,"Nyawade, S.O., Karanja, N.N., Gachene, C.K.K., Gitari, H.I., Schulte-Geldermann, E., & Parker, M.",Nyawade et al.,2020,Nutrient Cycling in Agroecosystems,117,Optimizing soil nitrogen balance in a potato cropping system through legume intercropping,43-59,LWA,1/26/2021
4003,10.1017/S174275840000401X,"Amoako-Atta, B. & Omolo, E.O.",Amoako-Atta & Omolo,1983,Insect Science and Its Application,4(1/2),Yield losses caused by the stem-/pod-borer complex within maize-sowpea-sorghum intercropping systems in Kenya,39-46,LWA,1/27/2021
4004,10.1111/j.1439-0418.1990.tb00030.x,"Dissemond, A. & Hindorf, H.",Dissemond & Hindorf,1990,Journal of Applied Entomology,19,Influence of sorghum/maize/cowpea intercropping on the insect situation at Mbita/Kenya,144-150,LWA,1/27/2021
4005,Unavailable,"Jama, B. & Getahun, A.",Jama & Getahun,1991,Agroforestry Systems,14,"Intercropping Acacia albida with maize (Zea mays) and green gram (Phaseolus aureus) at Mtwapa, Coast Province, Kenya",193-205,LWA,1/29/2021
4006,10.1080/09670879109371591,"Gethi, M. & Khaemba, B.M.",Gethi & Khaemba,1991,International Journal of Pest Management,37(3),Damage by podâ€sucking bugs on cowpea when intercropped with maize,236-239,LWA,1/29/2021
4007,10.1111/j.1365-3059.1993.tb01467.x,"Boudreau, M.A.",Boudreau,1993,Plant Pathology,42,Effect of intercropping beans with maize on the severity of angular leaf spot of beans in Kenya,16-25,LWA,1/29/2021
4008,10.1023/A:1006288018137,"Desaeger, J. & Rao, M.R.",Desaeger & Rao,1999,Agroforestry Systems,47,The root-knot nematode problem in sesbania fallows and scope for managing it in western Kenya,273-288,LWA,2/1/2021
4009,10.1016/S0378-4290(99)00071-4,"Desaeger, J. & Rao, M.R.",Desaeger & Rao,2000,Field Crops Research,65,Parasitic nematode populations in natural fallows and improved cover crops and their effects on subsequent crops in Kenya,41-56,LWA,2/2/2021
4010,10.1007/BF00704833,"Mureithi, J.G., Tayler, R.S., & Thorpe, W.",Mureithi et al.,1994,Agroforestry Systems,27,The effects of alley cropping with Leucaena leucocephala and of different management practices on the productivity of maize and soil chemical properties in lowland coastal Kenya,31-51,LWA,2/2/2021
4011,10.1017/S0021859600068453,"Pilbeam, C.J., Okalebo, J.R., Simmonds, L.P., & Gathua, K.W.",Pilbeam et al.,1994,Journal of Agricultural Science,123,Analysis of maize-common bean intercrops in semi-arid Kenya,191-198,LWA,2/2/2021
4012,10.1017/S001447970002500X,"Njoroge, J.M. & Kimemia, J.K.",Njoroge & Kimemia,1995,Experimental Agriculture,31,Effects on the yield and growth of a young compact Arabica coffee hybrid of intercropping with food crops in three agro-ecozones in Kenya,49-55,LWA,2/3/2021
4013,10.1007/BF00712055,"Mureithi, J.G., Tayler, R.S., & Thorpe, W.",Mureithi et al.,1995,Agroforestry Systems,31,Productivity of alley farming with leucaena (Leucaena leucocephala Lam. de Wit) and Napier grass (Pennisetum purpureum K. Schum) in coastal lowland Kenya,59-78,LWA,2/4/2021
4014,10.1023/A:1004293910977,"Lehmann, J. & Zech, W.",Lehmann & Zech,1998,Plant and Soil,198,Fine root turnover of irrigated hedgerow intercropping in Northern Kenya,19-31,LWA,2/5/2021
4015,10.1016/0378-4290(94)90062-0,"Ehlers, J.D.",Ehlers,1994,Field Crops Research,36,Correlation of performance of sole-crop and intercrop cowpeas with and without protection from insect pests,133-143,LWA,2/5/2021
4016,10.1016/0167-1987(94)00441-G,"Zobisch, M.A., Richter, C., Heiligtag, B., & Schlott, R.",Zobisch et al.,1995,Soil & Tillage,33,Nutrient losses from cropland in the Central Highlands of Kenya due to surface runoff and soil erosion,109-116,LWA,2/9/2021
4017,10.1080/09670879309371803,"Omolo, E. O., Nyambo, B., Simbi,  C. O. J., & Ollimo, P.",Omolo et al.,1993,International Journal of Pest Management,39(3),The role of host plant resistance and intercropping in integrated pest management (IPM) with specific reference to the Oyugis project,265-272,kws,2/11/2021
4018,10.1017/S0014479719000280,"Muoni, T., Koomson, E., Ã–born, I. , Marohn, C., Watson, C.A., Bergkvist, G., Barnes, A., Cadisch, G., & Duncan, A.",Muoni et al.,2020,Experimental Agriculture,56,Reducing soil erosion in smallholder farming systems in east Africa through the introduction of different crop types,183-195,kws,2/17/2021
