paper_id,duration,trt_id,year,cover_soilprep,cover_plantdate,cover_plantimplement,cover_fertilizer,cover_type,cover_mixture,cover_seeddensity,termination,herbicide,termination_timing,trt_other_description
4000,2018-1,0,1;2,NA,NA,NA,NA,monocrop,sweet potato,120 vines planted 30 cm apart along ridge,NA,NA,NA,NA
4000,2018-1,1,1;2,NA,NA,NA,NA,intercrop,sweet potato; maize,sweet potato planted on ridges at spacing of 30 cm by 60 cm between vines; maize planted in flat beds at spacing of 60 cm by 50 cm between maize,NA,NA,NA,NA
4001,2017-2,0,1;2;3,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",monocrop,maize,NA,NA,NA,NA,NA
4001,2017-2,1,1;2;3,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",intercrop,maize; bean,NA,NA,NA,NA,NA
4001,2017-2,2,1;2,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",intercrop,maize; cowpea,NA,NA,NA,NA,NA
4001,2017-2,3,1;2,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",intercrop,maize; green gam,NA,NA,NA,NA,NA
4001,2017-2,4,1;2,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",intercrop,maize; groundnut,NA,NA,NA,NA,NA
4001,2017-2,5,1;2,NA,NA,NA,"mineral fertilizers were applied in the form of 60 kg DAP ha−1 at planting and 60 kg CAN ha−1 at 6 weeks after planting equivalent to 27 kg N, 12 kg P and 4.8 kg Ca ha−",alley crop,maize; desmodium; brachiaria,NA,NA,NA,NA,NA
4002,2017-2,0,1;2,NA,NA,NA,"50 kg ha-1 N, 90 kg P ha-1 , 100 kg K ha-1 and single topdressing with 50 kg N ha-1 in the form of calcium ammonium nitrate (26-0-0). Topdressing was done 15–25 days after potato emergence depending on the general soil moisture conditions",monocrop,potato,NA,NA,NA,NA,NA
4002,2017-2,1,1;2,NA,NA,NA,"one basal phosphorus applications (triple super phosphate, 0-46-0) at rates averaging 20 kg P ha-1",monocrop,lima bean,NA,NA,NA,NA,NA
4002,2017-2,2,1;2,NA,NA,NA,"one basal phosphorus applications (triple super phosphate, 0-46-0) at rates averaging 20 kg P ha-1",monocrop,dolichos,NA,NA,NA,NA,NA
4002,2017-2,3,1;2,NA,NA,NA,"50 kg ha-1 N, 90 kg P ha-1 , 100 kg K ha-1 and single topdressing with 50 kg N ha-1 in the form of calcium ammonium nitrate (26-0-0). Topdressing was done 15–25 days after potato emergence depending on the general soil moisture conditions; one basal phosphorus applications (triple super phosphate, 0-46-0) at rates averaging 20 kg P ha-1",intercrop,potato; lima bean,NA,NA,NA,NA,NA
4002,2017-2,4,1;2,NA,NA,NA,"50 kg ha-1 N, 90 kg P ha-1 , 100 kg K ha-1 and single topdressing with 50 kg N ha-1 in the form of calcium ammonium nitrate (26-0-0). Topdressing was done 15–25 days after potato emergence depending on the general soil moisture conditions; one basal phosphorus applications (triple super phosphate, 0-46-0) at rates averaging 20 kg P ha-1",intercrop,potato; dolichos,NA,NA,NA,NA,NA
4003,1981-2,0,1;2,NA,NA,NA,NA,monocrop,maize,"40,000 plants/ha",NA,NA,NA,NA
4003,1981-2,1,1;2,NA,NA,NA,NA,monocrop,cowpea,"120,000 plants/ha",NA,NA,NA,NA
4003,1981-2,2,1;2,NA,NA,NA,NA,monocrop,sorghum,"80,000 plants/ha",NA,NA,NA,NA
4003,1981-2,3,1;2,NA,NA,NA,NA,intercrop,maize; cowpea,1 maize: 3 cowpea,NA,NA,NA,NA
4003,1981-2,4,1;2,NA,NA,NA,NA,intercrop,sorghum; cowpea,2 sorghum: 3 cowpea,NA,NA,NA,NA
4003,1981-2,5,1;2,NA,NA,NA,NA,intercrop,maize; sorghum,1 maize: 2 sorghum,NA,NA,NA,NA
4003,1981-2,6,1;2,NA,NA,NA,NA,intercrop,maize; cowpea; sorghum,1 maize: 2 sorghum: 3 cowpea,NA,NA,NA,NA
