paper_id,doi,authors,authors_abbrev,pubyear,journal,volume_issue,title,pages,readername,dateread
5000,10.1007/s00374-018-01338-3,"Fungo, B., Lehmann, J., Kalbitz, K., Thiongo, M., Tenywa, M., Okeyo, I., & Neufeldt, H.",Fungo et al.,2019,Biology and Fertility of Soils,55,"Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",135-148,LWA,2/12/2021
5001,10.1016/j.agee.2020.107165,"Roobroeck, D., Palm, C.A., Nziguheba, G., Weil, R., & Vanlauwe, B.",Roobroeck et al.,2021,"Agriculture, Ecosystems and Environment",305,Assessing and understanding non-responsiveness of maize and soybean to fertilizer applications in African smallholder farms,107165,LWA,2/17/2021
5002,10.1016/j.actao.2020.103622,"Maina, S., Karuri, H., & Ng'endo, R.N.",Maina et al.,2020,Acta Oecologica,108,"Nematode metabolic footprints, ecological and functional indices in tropical maize-beans agro-ecosystems under different farming practices",103622,LWA,2/17/2021
5003,10.1016/j.agee.2020.107064,"Musafiri, C.M., Macharia, J.M., Kiboi, M.N., Ng'etich, O.K., Shisanya, C.A., Okeyo, J.M., Mugendi, D.N., Okwuosa, E.A., & Ngetich, F.K.",Musafiri et al.,2020,"Agriculture, Ecosystems and Environment",201,Soil greenhouse gas fluxes from maize cropping system under different soil fertility management technologies in Kenya,107064,LWA,3/17/2021
5004,10.3389/fpls.2020.574592,"Beesigamukama, D., Mochoge, B., Korir, N.K., Fiaboe, K.K.M., Nakimbugwe, D., Khamis, F.M., Subramanian, S., Dubois, T., Musyoka, M.W., Ekesi, S., Kelemu, S., & Tanga, C.M.",Beesigamukama et al.,2020,Frontiers in Plant Science,11,"Exploring black soldier fly frass as novel fertilizer for improved growth, yield, and nitrogen use efficiency of maize under field conditions",1447,LWA,3/18/2021
5005,10.1016/j.fcr.2020.107833,"Mutuku, E., Roobreck, D., Vanlauwe, B., Boeckx, P., & Cornelis, W.M.",Mutuku et al.,2020,Field Crops Research,254,Maize production under combined conservation agriculture and integrated soil fertility management in the sub-humid and semi-arid regions of Kenya,107833,LWA,3/31/2021
5006,10.1080/14735903.2020.1793646,"Gowing, J.W., Golicha, D.D., & Sanderson, R.A.",Gowing et al.,2020,International Journal of Agricultural Sustainability,18(6),Integrated crop-livestock farming offers a solution to soil fertility mining in semi-arid Kenya: evidence from Marsabit County,492-504,LWA,4/2/2021
5007,10.3389/fenvs.2020.00080,"Owino, C.N., Kitaka, N., Kipkemboi, J., & Ondiek, R.A.",Owino et al.,2020,Frontiers in Environmental Science,8,"Assessment of greenhouse gases emission in smallholder rice paddies converted from Anyiko Wetland, Kenya",80,LWA,4/2/2021
5008,10.1029/2019JG005427,"Macharia, J.M., Pelster, D.E., Ngetich, F.K., Shisanya, C.A., Mucheru-Muna, M., & Mugendi, D.N.",Macharia et al.,2020,Journal of Geophysical Research: Biogeosciences,125,Soil greenhouse gas fluxes from maize production under different soil fertility management practices in East Africa,e2019JG005427,LWA,4/6/2021
5009,10.1016/j.geodrs.2020.e00287,"Kiboi, M.N., Ngetich, F.K., Fliessbach, A., Muriuki, A., & Mugendi, D.N.",Kiboi et al.,2020,Geoderma Regional,21,Nutrient release from organic resources in Nitisols of the Central Highlands of Kenya,e00287,LWA,4/7/2021
5010,10.1016/j.agsy.2020.102831,"Jindo, K., Schutt, A.G.T., & Langeveld, J.W.A.",Jindo et al.,2020,Agricultural Systems,182,Sustainable intensification in Western Kenya: Who will benefit?,102831,LWA,4/7/2021
5011,10.4081/ija.2020.1381,"Kiboi, M.N., Ngetich, F.K., Muriuki, A., Adamtey, N. & Mugendi, D.",Kiboi et al.,2020,Italian Journal of Agronomy,15,The response of soil physicochemical properties to tillage and soil fertility resources in Central Highlands of Kenya,1381,LWA,4/9/2021
5012,10.1007/s10653-019-00309-3,"Ngigi, P.B., Lachat, C., Masinde, P. W., & Laing, G.D.",Ngigi et al.,2019,Environmental Geochemistry and Health,41,Agronomic biofortification of maize and beans in Kenya through selenium fertilization,2577-2591,LWA,4/16/2021
5013,10.3390/insects10100367,"Anyango, J.J., Bautze, D., Fiaboe, K.K., Lagat, Z.O., Muriuki, A.W., Stockli, S., Onyambu, G.K., Musyoka, M.W., Karanja, E.N., & Adamtey, N.",Anyango et al.,2019,Insects,10,Termite-induced injuries to maize and baby corn under organic and conventional farming systems in the Central Highlands of Kenya,367,LWA,4/16/2021
5014,10.1007/s10705-019-10005-4,"Sprunger, C.D., Culman, S.W., Palm, C.A., Thuita, M., & Vanlauwe, B.",Sprunger et al.,2019,Nutrient Cycling in Agroecosystems,114,Long-term application of low C:N residues enhances maize yield and soil nutrient pools across Kenya,261-276,LWA,4/16/2021
5015,10.1016/j.agwat.2019.03.014,"Kiboi, M.N., Ngetich, K.F., Fliessbach, A., Muriuki, A., & Mugendi, D.N.",Kiboi et al.,2019,Agricultural Water Management,217,Soil fertility inputs and tillage influence on maize crop performance and soil water content in the Central Highlands of Kenya,316-331,LWA,4/20/2021
5016,10.1016/j.eja.2019.02.006,"Njoroge, A., Schut, A.G.T., Giller, K.E., & Zingore, S.",Njoroge et al.,2019,European Journal of Agronomy,105,Learning from the soil’s memory: Tailoring of fertilizer application based on past manure applications increases fertilizer use efficiency and crop productivity on Kenyan smallholder farms,52-61,LWA,4/22/2021
5017,10.1016/j.fcr.2019.02.015,"Katterer, T., Roobroeck, D., Andren, O., Kimutai, G., Karltun, E., Kirchmann, H., Nyberg, G., Vanlauwe, B., & Roing de Nowina, K.",Katterer et al.,2019,Field Crops Research,235,Biochar addition persistently increased soil fertility and yields in maize-soybean rotations over 10 years in sub-humid regions of Kenya,18-26,LWA,4/23/2021
5018,10.1016/j.geodrs.2018.e00193,"Kiboi, M.N., Ngetich, K.F., Mugendi, D.N., Muriuki, A., Adamtey, C., & Fliessbach, A.",Kiboi et al.,2018,Geoderma Regional,15,Microbial biomass and acid phosphomonoesterase activity in soils of the Central Highlands of Kenya,e00193,LWA,5/10/2021
5019,10.1016/j.agee.2018.01.007,"Thuita, M., Vanlauwe, B., Mutegi, E., & Masso, C.",Thuita et al,2018,"Agriculture, Ecosystems and Environment",261,Reducing spatial variability of soybean response to rhizobia inoculants in farms of variable soil fertility in Siaya County of western Kenya,153-160,LWA,5/10/2021
5020,10.3390/agronomy8040049,"Njoroge, R., Otinga, A.N., Okalebo, J.R., Pepela, M., & Merckx, R.",Njoroge et al.,2018,Agronomy,8,"Maize (Zea mays L.) response to secondary and micronutrients for profitable N, P and K fertilizer use in poorly responsive soils",49,LWA,5/13/2021
5021,10.1016/j.agee.2017.11.004,"Sommer, R., Paul, B.K., Mukalama, J., & Kihara, J.",Sommer et al.,2018,"Agriculture, Ecosystems and Environment",254,Reducing losses but failing to sequester carbon in soils – the case of Conservation Agriculture and Integrated Soil Fertility Management in the humid tropical agro-ecosystem of Western Kenya,82-91,LWA,5/13/2021
5022,10.1016/j.agsy.2017.10.003,"Kurgat, B.K., Stober, S., Mwonga, S., Lotze-Campen, H., & Rosenstock, T.S.",Kurgat et al.,2018,Agricultural Systems,160,Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,79-86,LWA,5/14/2021
5023,10.1080/01904167.2018.1458870,"Kawaka, F., Dida, M., Opala, P., Ombori, O., Maingi, J., Amoding, A., & Muoma, J.",Kawaka et al.,2018,Journal of Plant Nutrition,41(13),Effect of nitrogen sources on the yield of common bean (Phaseolusvulgaris) in western Kenya,1652-1661,LWA,5/17/2021
