paper_id,doi,authors,authors_abbrev,pubyear,journal,volume_issue,title,pages,readername,dateread
6000,10.1016/j.fcr.2020.107833,"Mutuku, E.A., Roobroeck, D., Vanlauwe, B., Boeckx, P., & Cornelis, W.M.",Mutuku et al.,2020,Field Crops Research,254,Maize production under combined Conservation Agriculture and Integrated Soil Fertility Management in the sub-humid and semi-arid regions of Kenya,107833,LWA,2/27/2021
6001,10.1016/j.geodrs.2020.e00287,"Kiboi, M.N., Ngetich, F.K., Fliessbach, A., Muriuki, A., & Mugendi, D.N.",Kiboi et al.,2020,Geoderma Regional,21,Nutrient release from organic resources in Nitisols of the Central Highlands of Kenya,e00287,LWA/KWS,3/16/2021
6002,10.1016/j.fcr.2020.107738,"Rusinamhodzi, L., Makumbi, D., Njeru, J. M., & Kanampiu, F.",Rusinamhodzi et al.,2020,Field Crops Research,249,Performance of elite maize genotypes under selected sustainable intensification options in Kenya,107738,KWS,4/13/2021
6003,10.4081/ija.2020.1381,"Kiboi, M.N., Ngetich, F.K., Muriuki, A., Adamtey, N. & Mugendi, D.N.",Kiboi et al.,2020,Italian Journal of Agronomy,15,The response of soil physicochemical properties to tillage and soil fertility resources in Central Highlands of Kenya,71-87,KWS,4/21/2021
6004,10.3389/fenvs.2019.00097,"Ayuke, F.O., Kihara, J., Ayaga, G., & Micheni, A.N.",Ayuke et al.,2019,Frontiers in Environmental Science,7,Conservation agriculture enhances soil fauna richness and abundance in low input systems: examples from Kenya,97,LWA,4/27/2021
6005,10.1016/j.agwat.2019.03.014,"Kiboi, M.N., Ngetich, K.F., Fliessbach, A., Muriuki, A., & Mugendi, D.N.",Kiboi et al.,2019,Agricultural Water Management,217,Soil fertility inputs and tillage influence on maize crop performance and soil water content in the Central Highlands of Kenya,316-331,LWA,4/27/2021
6006,10.1016/j.geodrs.2018.e00193,"Kiboi, M.N., Ngetich, K.F., Mugendi, D.N., Muriuki, A., Adamtey, N., & Fliessbach, A.",Kiboi et al.,2018,Geoderma Regional,15,Microbial biomass and acid phosphomonoesterase activity in soils of the Central Highlands of Kenya,e00193,LWA,4/27/2021
6007,10.1016/j.fcr.2018.03.024,"Kitonyo, O.M., Sadras, V.O., Zhou, Y., & Denton, M.D.",Kitonyo et al.,2018,Field Crops Research,223,Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment,113-124,LWA,4/28/2021
6008,10.1016/j.agee.2017.11.004,"Sommer, R., Paul, B.K., Mukalama, J., & Kihara, J.",Sommer et al.,2018,"Agriculture, Ecosystems and Environment",254,Reducing losses but failing to sequester carbon in soils â€“ the case of Conservation Agriculture and Integrated Soil Fertility Management in the humid tropical agro-ecosystem of Western Kenya,82-91,LWA,4/28/2021
6009,10.1007/s11104-017-3401-z,"Margenot, A.J., Pulleman, M.M., Sommer, R., Paul, B.K., Parikh, S.J., Jackson, L.E., & Fonte, S.J.",Margenot et al.,2017,Plant and Soil,420,Biochemical proxies indicate differences in soil C cycling induced by long-term tillage and residue management in a tropical agroecosystem,315-329,LWA,4/30/2021
6010,10.1016/j.still.2017.04.001,"Kiboi, M.N., Ngetich, K.F., Diels, J., Mucheru-Muna, M., Mugwe, J., & Mugendi, D.N.",Kiboi et al.,2017,Soil & Tillage Research,170,"Minimum tillage, tied ridging and mulching for better maize yield and yield stability in the Central Highlands of Kenya",157-166,LWA,4/30/2021
6011,10.1016/j.still.2016.09.003,"Margenot, A.J., Paul, B.K., Sommer, R.R., Pulleman, M.M., Parikh, S.J., Jackson, L.E., & Fonte, S.J.",Margenot et al.,2017,Soil & Tillage Research,166,Can conservation agriculture improve phosphorus (P) availability in weathered soils? Effects of tillage and residue management on soil P status after 9 years in a Kenyan Oxisol,157-166,LWA,4/30/2021
6012,10.1071/SR15074,"Okeyo, J.M., Norton, J., Koala, S., Waswa, B., Kihara, J., & Bationo, A.",Okeyo et al.,2016,Soil Research,54,Impact of reduced tillage and crop residue management on soil properties and crop yields in a long-term trial in western Kenya,719-729,LWA,4/30/2021
6013,10.1017/S0014479714000556,"Micheni, A.N., Kanampiu, F., Kitonyo, O., Mburu, D.M., Mugai, E.N., Makumbi, D., & Kassie, M.",Micheni et al.,2016,Experimental Agriculture,52,On-farm experimentation on conservation agriculture in maize-legume based cropping systems in Kenya: Water use efficiency and economic impacts,51-68,LWA,6/17/2021
6014,10.1016/j.agee.2015.04.001,"Paul, B.K., Vanlauwe, B., Hoogmoed, M., Hurisso, T.T., Ndabamenye, T., Terano, Y., Six, J., Ayuke, F.O., & Pulleman, M.M.",Paul et al.,2015,"Agriculture, Ecosystems and Environment",208,Exclusion of soil macrofauna did not affect soil quality but increased crop yields in a sub-humid tropical maize-based system,75-85,LWA,6/23/2021
6015,10.1371/journal.pone.0133976,"Obhiambo, J.A., Norton, U., Ashilenje, D., Omondi, E.C., & Norton, J.B.",Obhiambo et al.,2015,PLoS ONE,10(8),Weed dynamics during transition to conservation agriculture in Western Kenya maize production,e0133976,LWA,6/24/2021
6016,10.1007/s10705-014-9649-2,"Kihara, J., Martius, C., & Bationo, A.",Kihara et al.,2015,Nutrient Cycling in Agroecosystems,102,Crop residue disappearance and macrofauna activity in sub-humid western Keny,101-111,LWA,6/25/2021
6017,10.1016/j.catena.2014.05.026,"Ngetich, K.F., Diels, J., Shisanya, C.A., Mugwe, J.N., Mucheru-muna, M., & Mugendi, D.N.",Ngetich et al.,2014,Catena,121,"Effects of selected soil and water conservation techniques on runoff, sediment yield and maize productivity under sub-humid and semi-arid conditions in Kenya",288-296,LWA,2/16/2022
