paper_id,duration,trt_id,year,till_type,till_equipment,till_depth_cm,till_numpasses,till_dates,trt_name,trt_other_description
6000,2017-2,0,1;2,hand-hoeing,hand,15 cm,NA,before planting,"C, CTM",NA
6000,2017-2,1,1;2,no-tillage,none,0 cm,NA,NA,"NTR, NTRM",NA
6001,2016-2,0,1;2,hand-hoeing,hand,15 cm,NA,NA,ConvT,initial tillage plus continuous removal of weeds
6001,2016-2,1,1;2,minimum tillage,hand,NA,NA,NA,MinT,holes for plantings dug and weeds hand-pulled during cropping season
6002,2013-4,0,1;2;3;4,conventional tillage,hand,NA,NA,before planting; weeds managed with hand hoeing,ConvT,soil inversion through tillage and removal of crop residues
6002,2013-4,1,1;2;3;4,no-tillage,hand,NA,NA,weeds managed with glyphosate and surface scratching,NT,"year 1: 2.5 t/ha crop residue cover was maintained, years 2-4: all crop residues maintained"
6002,2013-4,2,1;2;3;4,NA,NA,NA,NA,NA,monoculture,maize
6002,2013-4,3,1;2;3;4,NA,NA,NA,NA,NA,intercrop,maize; cowpea
6003,2016-2,0,1;2,conventional tillage,hand,15 cm,NA,NA,D15,incoporated preplanting fertilizers at time of tillage
6003,2016-2,1,1;2,minimum tillage,hand,"0 cm, with disturbance in row",NA,NA,D0,incorporated preplanting fertilizers only in planting rows
6003,2016-2,2,1;2,NA,NA,NA,NA,NA,Control,no fertilizer amendments
6003,2016-2,3,1;2,NA,NA,NA,NA,NA,F,nitrogen mineral fertilizer
6003,2016-2,4,1;2,NA,NA,NA,NA,NA,RF,nitrogen mineral fertilizer; green manure
6003,2016-2,5,1;2,NA,NA,NA,NA,NA,RFM,nitrogenmineral fertilizer; green manure; animal fertilizer
6003,2016-2,6,1;2,NA,NA,NA,NA,NA,RML,green manure; animal manure; legume intercrop
6003,2016-2,7,1;2,NA,NA,NA,NA,NA,RTiM,green manure; animal manure; legume intercrop
6003,2016-2,8,1;2,NA,NA,NA,NA,NA,RTiP,green manure; legume intercrop; nitrogen mineral fertilizer
6004,2003-15,0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,hand-hoeing,hand,15 cm,NA,before planting,conventional tillage,NA
6004,2003-15,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,zero tillage,hand hoe for seed bed preparation,3 cm,NA,before planting,zero tillage,NA
6005,2016-2,0,1;2,conventional tillage,hand,15 cm,NA,NA,NA,NA
6005,2016-2,1,1;2,minimum tillage,hand,"0 cm, with disturbance in row",NA,NA,NA,NA
6006,2016-2,0,1;2,conventional tillage,hand,15 cm,NA,NA,NA,NA
6006,2016-2,1,1;2,minimum tillage,hand,"0 cm, with disturbance in row",NA,NA,NA,NA
6007,2015-2,0,1;2,conventional tillage,hand,15 cm,NA,2 weeks before planting,CT,NA
6007,2015-2,1,1;2,no-tillage,undisturbed,0 cm,NA,NA,NT,NA
6007,2015-2,2,1;2,NA,NA,NA,NA,NA,NA,no crop residue
6007,2015-2,3,1;2,NA,NA,NA,NA,NA,NA,3 t/ha crop residue
6007,2015-2,4,1;2,NA,NA,NA,NA,NA,NA,5 t/ha crop residue
6007,2015-2,5,1;2,NA,NA,NA,NA,NA,NA,0 kg N/ha fertilizer added
6007,2015-2,6,1;2,NA,NA,NA,NA,NA,NA,80 kg N/ha fertilizer added
6007,2015-2,7,1;2,NA,NA,NA,NA,NA,NA,120 kg N/ha fertilizer added
6007,2015-2,8,1;2,NA,NA,NA,NA,NA,NA,0 kg N/ha fertilizer added
6007,2015-2,9,1;2,NA,NA,NA,NA,NA,NA,80 kg N/ha fertilizer added at sowing
6007,2015-2,10,1;2,NA,NA,NA,NA,NA,NA,80 kg N/ha fertilizer with 1/3 added at sowing and 2/3 at V6
6007,2015-2,11,1;2,NA,NA,NA,NA,NA,NA,"80 kg N/ha fertilizer with 1/3 added at sowing, 1/3 at V6, and 1/3 at V12"
6007,2015-2,12,1;2,NA,NA,NA,NA,NA,NA,80 kg N/ha fertilizer with 1/2 added at V6 and 1/2 at V12
6007,2015-2,13,1;2,NA,NA,NA,NA,NA,NA,NA
6007,2015-2,14,1;2,NA,NA,NA,NA,NA,NA,NA
6008,2004-12,0,1;2;3;4;5;6;7;8;9;10;11;12,conventional tillage,hand,20-30 cm,NA,NA,Conventional,NA
6008,2004-12,1,1;2;3;4;5;6;7;8;9;10;11;12,no-tillage,hand,disturbance in row for planting only,NA,NA,Zero Tillage,NA
6008,2004-12,2,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,R-,2 t/ha maize stovers retained
6008,2004-12,3,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,R+,0 t/ha maize stover residues retained
6008,2004-12,4,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,M-M,maize-maize rotation
6008,2004-12,5,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,M-S,maize-soybean rotation
6008,2004-12,6,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,S-M,soybean-maize rotation
6008,2004-12,7,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,MS,maize soybean intercrop
6008,2004-12,8,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,N0 P60,"0 kg N/ha, 60 kg P/ha"
6008,2004-12,9,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,N30 P60,"30 kg N/ha, 60 kg P/ha"
6008,2004-12,10,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,N60 P60,"60 kg N/ha, 60 kg P/ha"
6008,2004-12,11,1;2;3;4;5;6;7;8;9;10;11;12,NA,NA,NA,NA,NA,N90 P60,"90 kg N/ha, 60 kg P/ha"
6009,2003-10,0,1;2;3;4;5;6;7;8;9;10,conventional tillage,hand,"15 cm depth, 8 cm for weeding","1 tillage, 3 weeding",pre plant,T+,NA
