rv,new_group_level1,new_group_level2,new_group_level3,group_level2,group_level3
"benefit cost ratio, season 1",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit cost ratio, season 2",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit cost ratio, season 3",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 12 weeks after planting maize, long rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 12 weeks after planting maize, short rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 18 weeks after planting maize, long rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 18 weeks after planting maize, short rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 9 weeks after planting maize, long rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, Desmodium cut 9 weeks after planting maize, short rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit-cost ratio, long rains",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
benefits/costs ratio,,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, good fertility soils, crop residue added",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, good fertility soils, crop residue removed",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, medium fertility soils, crop residue added",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, medium fertility soils, crop residue removed",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, poor fertility soils, crop residue added",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"cumulative benfit-cost ratio, poor fertility soils, crop residue removed",,Economic Performance,Benefit Cost Ratio (GRTC),Expenses,Benefit-cost ratio
"benefit to cost ratio (grosss benefits and total variable costs) , Leucaena anti-erosion plant barriers",,Economic Performance,Benefit Cost Ratio (GRVC),Expenses,Benefit-cost ratio
"benefit to cost ratio (grosss benefits and total variable costs), Napier anti-erosion plant barriers",,Economic Performance,Benefit Cost Ratio (GRVC),Expenses,Benefit-cost ratio
