review,paper_id,duration,rv_year,loc_multi_results,group_level1,group_level2,group_level3,rv,rv_depth,sample_depth,rv_units,stat_test,stat_type,trt1,trt1_int,trt1_int2,trt1_value,trt2,trt2_int,trt2_int2,trt2_value,significance,trt1_name,trt1_details,trt2_name,trt2_details,trt2_group1,trt2_group2,crop_type,system_group1,system_group2,mgmt_intention,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt,per_change,grouping,normative_effect
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"fungivores (Aphelenchoides) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,57.2,1,NA,NA,91.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,60.31,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"fungivores (Aphelenchuss) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,143,1,NA,NA,126.1,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,-11.82,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"fungivores (Filenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,7.8,1,NA,NA,2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,-74.36,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Acrobeles) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,3.3,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,Inf,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Acrobeloides) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,5.9,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,Inf,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Alaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,Inf,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Aphanolaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,3.9,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,50,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Cephalobus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,143,1,NA,NA,140.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,-1.82,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Cervidellus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,57.2,1,NA,NA,65.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,14.86,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Chiloplacus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,2.6,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,0,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Drilocephalobus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,26,1,NA,NA,15.6,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,-40,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Eucephalobus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,137.8,1,NA,NA,146.9,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,6.6,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Gemonhystera) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,5.2,1,NA,NA,11.1,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,113.46,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode Community,"bacterivores (Heterocephalobus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,65,1,NA,NA,101.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management,Dependent on other factors,assumed societal benefit,Other Soil Properties,Biotic Factors,Dependent on other factors,assumed societal benefit,56,Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community,Dependent on other factors | assumed societal benefit ; Dependent on other factors | assumed societal benefit
