"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_timeseries","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","tillage_1","tillage_2","trt_compare","crop_type","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.93,1,"NA","NA",5.89,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",49.87,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"2","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",6.65,1,"NA","NA",6.47,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-2.71,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"3","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.76,1,"NA","NA",1.65,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",117.11,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"4","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.72,1,"NA","NA",1.83,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-32.72,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"5","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.84,1,"NA","NA",1.66,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",97.62,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"6","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.88,1,"NA","NA",2.07,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",10.11,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"7","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.02,1,"NA","NA",0.1,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",400,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"8","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.1,1,"NA","NA",0.1,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",0,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"9","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.88,1,"NA","NA",3.52,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",87.23,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"10","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",4.08,1,"NA","NA",4.19,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",2.7,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"11","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.36,1,"NA","NA",1.03,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",186.11,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
