,Review,group_level1,group_level2,group_level3,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt
1,Continuous Cover,Climate Mitigation,Carbon Emissions,Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
2,Tillage,Climate Mitigation,Carbon Emissions,Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
435,Nutrient Amendment,Climate Mitigation,Carbon Emissions,Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
3,Continuous Cover,Climate Mitigation,Carbon Emissions,Methane,Negative,assumed societal harm,NA,NA,NA,NA
4,Tillage,Climate Mitigation,Carbon Emissions,Methane,Negative,assumed societal harm,NA,NA,NA,NA
434,Nutrient Amendment,Climate Mitigation,Carbon Emissions,Methane,Negative,assumed societal harm,NA,NA,NA,NA
5,Continuous Cover,Climate Mitigation,Carbon Emissions,Methane And Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
6,Tillage,Climate Mitigation,Carbon Emissions,Methane And Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
475,Nutrient Amendment,Climate Mitigation,Carbon Emissions,Methane And Carbon Dioxide,Negative,assumed societal harm,NA,NA,NA,NA
456,Nutrient Amendment,Climate Mitigation,Carbon Emissions,Total Greenhouse Gas Emissions,Negative,assumed societal harm,NA,NA,NA,NA
7,Continuous Cover,Climate Mitigation,Carbon Storage,Loss Of Soil Organic Carbon,Positive,assumed societal harm,NA,NA,NA,NA
476,Nutrient Amendment,Climate Mitigation,Carbon Storage,Loss Of Soil Organic Carbon,Positive,assumed societal harm,NA,NA,NA,NA
8,Continuous Cover,Climate Mitigation,Carbon Storage,Soil Organic Carbon,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
9,Tillage,Climate Mitigation,Carbon Storage,Soil Organic Carbon,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
431,Nutrient Amendment,Climate Mitigation,Carbon Storage,Soil Organic Carbon,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
10,Continuous Cover,Climate Mitigation,Carbon Storage,Soil Organic Carbon Derived From Corn,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
11,Tillage,Climate Mitigation,Carbon Storage,Soil Organic Carbon Derived From Corn,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
477,Nutrient Amendment,Climate Mitigation,Carbon Storage,Soil Organic Carbon Derived From Corn,Positive,assumed societal benefit,Other Soil Properties,Chemical Properties,Dependent on other factors,assumed societal benefit
416,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Volatilized Ammonia,Negative,assumed societal harm,NA,NA,NA,NA
13,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Annual Nitrous Oxide Emissions,Negative,assumed societal harm,NA,NA,NA,NA
14,Tillage,Climate Mitigation,Nitrogen Emissions,Annual Nitrous Oxide Emissions,Negative,assumed societal harm,NA,NA,NA,NA
417,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Annual Nitrous Oxide Emissions,Negative,assumed societal harm,NA,NA,NA,NA
15,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Growing Season Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
16,Tillage,Climate Mitigation,Nitrogen Emissions,Growing Season Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
455,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Growing Season Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
17,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Nitric Oxide,Negative,assumed societal harm,NA,NA,NA,NA
479,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Nitric Oxide,Negative,assumed societal harm,NA,NA,NA,NA
18,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
19,Tillage,Climate Mitigation,Nitrogen Emissions,Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
480,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
20,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Offseason Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
21,Tillage,Climate Mitigation,Nitrogen Emissions,Offseason Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
481,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Offseason Nitrous Oxide,Negative,assumed societal harm,NA,NA,NA,NA
12,Continuous Cover,Climate Mitigation,Nitrogen Emissions,Volatilized Ammonia,Negative,assumed societal harm,NA,NA,NA,NA
478,Nutrient Amendment,Climate Mitigation,Nitrogen Emissions,Volatilized Ammonia,Negative,assumed societal harm,NA,NA,NA,NA
22,Continuous Cover,Climate Mitigation,Surface Winds,Wind Velocity,Negative,assumed societal harm,NA,NA,NA,NA
482,Nutrient Amendment,Climate Mitigation,Surface Winds,Wind Velocity,Negative,assumed societal harm,NA,NA,NA,NA
23,Continuous Cover,Climate Mitigation,Temperature,Canopy Temperature,Negative,assumed societal harm,NA,NA,NA,NA
483,Nutrient Amendment,Climate Mitigation,Temperature,Canopy Temperature,Negative,assumed societal harm,NA,NA,NA,NA
24,Continuous Cover,Crop Yields,Cover Crop,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
