"","group_level1","group_level2","group_level3"
"1","Pests","Nematodes","Nematode community"
"2","Pests","Nematodes","Herbivores"
"3","Pests","Pest Natural Enemies","Natural enemy"
"4","Pests","Nematodes","Nematode community diversity"
"5","Pests","Nematodes","Nematode community maturity index"
"6","Pests","Nematodes","Nematode community activity"
"7","Crop Yields","Yields","Maize"
"8","Crop Yields","Crop Growth","Aboveground biomass"
"9","Pests","Weeds","Striga"
"10","Water Quality","Sediment Runoff","Sediment runoff"
"11","Water Quality","Flow Quantity","Water discharge"
"12","Other Soil Properties","Abiotic Factors","Soil moisture"
"13","Other Soil Properties","Abiotic Factors","Soil temperature"
"14","Crop Yields","Plant Nutrient Content","Crop carbon content"
"15","Crop Yields","Plant Nutrient Content","Crop nitrogen content"
"16","Crop Yields","Plant Nutrient Content","Crop lignin content"
"17","Crop Yields","Plant Nutrient Content","Crop micronutrient content"
"18","Other Soil Properties","Biotic Factors","Decomposition rate of buried residue"
"19","Soil Nutrients","Nitrogen","Total nitrogen"
"20","Water Quality","Nutrient Runoff","Nitrogen"
"21","Climate Mitigation","Nitrogen Emissions","Ammonia"
"22","Pests","Crop Damage","Damage from stem-borer"
"23","Economics","Economic Performance","Benefit cost ratio (GRTC)"
"24","Pests","Crop Damage","Damage from pod-borer"
"25","Crop Yields","Yields","Sorghum"
"26","Crop Yields","Yields","Cowpea"
"27","Pests","Crop Damage","Damage from sorghum shootfly"
"28","Pests","Invertebrate Pests","Stem-borers"
"29","Pests","Invertebrate Pests","Thrips"
"30","Pests","Invertebrate Pests","Aphids"
"31","Pests","Invertebrate Pests","Pod-borers"
"32","Crop Yields","Crop Growth","Tree diameter"
"33","Crop Yields","Yields","Mung bean"
"34","Pests","Weeds","Weed biomass"
"35","Pests","Crop Damage","Damage from leaf spot"
"36","Climate Mitigation","Surface Winds","Wind velocity"
"37","Pests","Nematodes","Plant-parasitic"
"38","Crop Yields","Improved Fallow","Aboveground biomass"
"39","Pests","Crop Damage","Damage from nematodes"
"40","Crop Yields","Yields","Beans"
"41","Soil Nutrients","Phosphorus & Potassium","Phosphorus"
"42","Soil Nutrients","Phosphorus & Potassium","Potassium"
"43","Crop Yields","Yields","Coffee"
"44","Crop Yields","Yields","Sweet potato"
"45","Crop Yields","Yields","Peas"
"46","Crop Yields","Yields","Potato"
"47","Crop Yields","Yields","Carrot"
"48","Crop Yields","Yields","Cabbage"
"49","Crop Yields","Yields","Tomato"
"50","Crop Yields","Yields","Kale"
"51","Crop Yields","Yields","Soybean"
"52","Crop Yields","Yields","Millet"
"53","Crop Yields","Fodder Yields","Napier grass"
"54","Crop Yields","Fodder Yields","Leucaena"
"55","Crop Yields","Fodder Yields","Blue pea"
"56","Other Soil Properties","Chemical Properties","Soil organic matter content"
"57","Crop Yields","Crop Growth","Root biomass"
"58","Crop Yields","Crop Damage","Yield loss due to pests"
"59","Crop Yields","Heritability","Cowpea"
"60","Climate Mitigation","Carbon Storage","Loss of soil organic carbon"
"61","Climate Mitigation","Carbon Storage","Soil organic carbon"
"62","Other Soil Properties","Physical Properties","Erosion"
"63","Soil Nutrients","Nitrogen","Nitrogen losses"
"64","Soil Nutrients","Phosphorus & Potassium","Phosphorus losses"
