"","paper_id"
"1",4000
"85",4001
"114",4002
"402",4003
"418",4036
"490",4004
"550",4005
"558",4006
"566",4007
"610",4008
"618",4009
"728",4010
"758",4011
"774",4012
"935",4013
"948",4014
"980",4015
"1002",4016
"1092",4017
"1112",4018
"1129",4019
"1161",4020
"1190",4021
"1424",4022
"2306",4023
"2511",4024
"2713",4025
"2737",4026
"2793",4027
"2807",4028
"2987",4029
"3045",4030
"3091",4031
"3103",4032
"3115",4033
"3123",4034
"3159",4035
"3380",4037
"3394",4039
"3519",4038
"3651",4040
"3679",4041
"3685",4043
"3697",4044
"3745",4045
"3795",4046
