"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Early Season Pest Management",85,"2006-2","1","1","Crop Yields","Crop Damage","Corn Lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"2","NA",0,1,"2","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn Lodging","Negative | assumed societal harm"
"2","Early Season Pest Management",85,"2006-2","2","2","Crop Yields","Crop Damage","Corn Lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"3","NA",0,1,"3","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn Lodging","Negative | assumed societal harm"
"3","Early Season Pest Management",83,"2011-3","2","1;2;3;4;5;6;7;8;9;10","Crop Yields","Stand Count","Soybean","soybean stand count (2 year average)","NA","NA","plants/ha","LSD","mean",0,"NA","NA",259000,11,"NA","NA",303000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,16.99,"Crop Yields | Stand Count | Soybean","Positive | assumed societal benefit"
"4","Early Season Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"23","NA",141,17,"23","NA",143,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Other Insecticides","Soil","Positive","assumed societal benefit",NA,NA,NA,NA,1.42,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"5","Early Season Pest Management",83,"2011-3","3","1;2;3;4;5;6;7;8;9;10","Crop Yields","Stand Count","Soybean","soybean stand count","NA","NA","plants/ha","LSD","mean",0,"NA","NA",220000,11,"NA","NA",265000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,20.45,"Crop Yields | Stand Count | Soybean","Positive | assumed societal benefit"
"6","Early Season Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"24","NA",151,17,"24","NA",153,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Other Insecticides","Soil","Positive","assumed societal benefit",NA,NA,NA,NA,1.32,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"7","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,1,"NA","NA",38.31,"ns","untreated_seedI","untreated","untreated soybean","clothianidin","soybean seed treated with clothianidin (47.32 ml ai/kg)","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,-21.08,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"8","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,8,"NA","NA",47.21,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,9.03,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"9","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,8,"NA","NA",30.66,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,7.02,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"10","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,5,"NA","NA",45.73,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-5.79,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
