,group_level1,group_level2,group_level3
1,Other Soil Properties,Abiotic Factors,Soil moisture
177,Crop Yields,Cover Crop,Nitrogen content
178,Crop Yields,Cover Crop,Height
4,Pests,Weeds,Cocklebur (#)
5,Pests,Weeds,Dead nettle (#)
6,Pests,Nematodes,Soybean cyst nematode (#)
7,Water Quality,Flow Quantity,Drainage
8,Water Quality,Nutrient Runoff,Dissolved organic carbon
9,Water Quality,Nutrient Runoff,Micro-nutrients
10,Water Quality,Nutrient Runoff,Ammonium
11,Pests,Weeds,Foxtail (#)
12,Water Quality,Nutrient Runoff,Nitrate
13,Soil Nutrients,Nitrogen,Ammonium
14,Pests,Weeds,Pigweed (#)
15,Pests,Weeds,Waterhemp (#)
16,Other Soil Properties,Chemical Properties,pH
17,Soil Nutrients,Phosphorus & Potassium,Phosphorus
18,Other Soil Properties,Soil Structure,Aggregate size
19,Climate Mitigation,Carbon Storage,Soil organic carbon
20,Pests,Weeds,Weed community (#)
21,Pests,Crop Damage,Damage caused by seed corn maggot
22,Pests,Invertebrate Pests,Seedcorn maggot (#)
23,Pests,Pest Natural Enemies,Invertebrate foliar community (#)
24,Pests,Crop Damage,Damage caused by corn rootworm
25,Pests,Invertebrate Pests,Corn rootworm (#)
26,Pests,Invertebrate Pests,Soybean aphid (#)
27,Other Soil Properties,Soil Structure,Aggregate stability
179,Crop Yields,Cover Crop,Carbon content
29,Other Soil Properties,Physical Properties,Water infiltration
30,Other Soil Properties,Soil Structure,Air-filled pore space
31,Other Soil Properties,Physical Properties,Clay content
32,Soil Nutrients,Phosphorus & Potassium,Potassium
33,Other Soil Properties,Biotic Factors,Microbial biomass
180,Crop Yields,Cover Crop,Aboveground biomass
35,Pests,Pest Natural Enemies,Invertebrate foliar community diversity
99,Crop Yields,Crop Damage,Corn stand count damage
37,Soil Nutrients,Nitrogen,Nitrate
38,Climate Mitigation,Carbon Emissions,Carbon dioxide
109,Crop Yields,Crop Damage,Crop damaged by invertebrates
119,Crop Yields,Crop Damage,Corn (# lodged)
122,Crop Yields,Crop Damage,Soybean (# lodged)
42,Other Soil Properties,Physical Properties,Compaction
43,Other Soil Properties,Physical Properties,Erosion
44,Other Soil Properties,Physical Properties,Sand content
45,Other Soil Properties,Physical Properties,Silt content
