"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.26,1,"NA","NA",0.252,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-3.08,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"2","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.312,1,"NA","NA",0.284,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-8.97,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"3","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.253,1,"NA","NA",0.253,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,0,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"4","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.293,1,"NA","NA",0.272,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-7.17,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"5","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.226,1,"NA","NA",0.267,"0.04","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,18.14,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"6","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.267,1,"NA","NA",0.3,"0.05","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,12.36,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"7","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.241,1,"NA","NA",0.27,"0.02","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,12.03,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"8","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.28,1,"NA","NA",0.3,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,7.14,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"9","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.222,1,"NA","NA",0.222,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,0,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"10","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.225,1,"NA","NA",0.262,"0.03","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,16.44,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"11","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.262,1,"NA","NA",0.288,"0.02","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,9.92,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"12","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.282,1,"NA","NA",0.295,"0.03","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,4.61,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"13","Cover Crops",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"2","NA",2.71,1,"2","NA",2.77,"ns","0","mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,2.21,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"14","Cover Crops",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"3","NA",2.76,1,"3","NA",2.51,"ns","0","mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-9.06,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"15","Cover Crops",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"4","NA",2.79,1,"4","NA",2.74,"ns","0","mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-1.79,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"16","Cover Crops",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"2","NA",10,1,"2","NA",10.3,"ns","0","mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,3,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"17","Cover Crops",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"3","NA",9.85,1,"3","NA",9.54,"ns","0","mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-3.15,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"18","Cover Crops",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"4","NA",9.41,1,"4","NA",9.1,"ns","0","mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-3.29,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"19","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"3","NA",83,2,"3","NA",53,"0.05","-1","mono","no cover crop","soybean stubble (no cover crop), tillage to kill weeds","hairy vetch","hairy vetch cover crop, tillage to terminate cover crop","Single species","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-30,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"20","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"3","NA",83,1,"3","NA",73,"ns","0","mono","no cover crop","soybean stubble (no cover crop), tillage to kill weeds","winter rye","winter rye cover crop, tillage to terminate cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-10,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"21","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"5","NA",41,1,"5","NA",84,"0.05","1","mono","no cover crop","soybean stubble (no cover crop), mowing to kill weeds","winter rye","winter rye cover crop, mowing to terminate cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,43,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"22","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"5","NA",41,2,"5","NA",68,"0.05","1","mono","no cover crop","soybean stubble (no cover crop), mowing to kill weeds","hairy vetch","hairy vetch cover crop, mowing to terminate cover crop","Single species","Legume","Negative","assumed societal harm",NA,NA,NA,NA,27,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"23","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"5","NA",84,2,"5","NA",68,"0.05","NA","mono_mono","winter rye","winter rye cover crop, mowing to terminate cover crop","hairy vetch","hairy vetch cover crop, mowing to terminate cover crop","Mixture comparisons","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-16,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"24","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"4","NA",71,2,"4","NA",68,"ns","0","mono_mono","winter rye","winter rye cover crop, herbicide sprayed on cover crop","winter rye","hairy vetch cover crop, herbicide sprayed on cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-3,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"25","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,2,"3","NA",53,"ns","0","mono_mono","winter rye","winter rye cover crop, tillage to terminate cover crop","hairy vetch","hairy vetch cover crop, tillage to terminate cover crop","Mixture comparisons","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-20,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"26","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,1,"4","NA",71,"ns","0","mono_mono","winter rye","winter rye to terminate weeds","winter rye","winter ryes to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-2,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"27","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,1,"5","NA",84,"ns","0","mono_mono","winter rye","winter rye to terminate weeds","winter rye","winter rye to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
