"","Review","group_level1","group_level2","norm_interp2","group_level3","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","NOTES"
"1","Cover Crops","Other Soil Properties","Soil Structure","Positive","Aggregate Size","assumed societal benefit",NA,NA,NA,NA,NA
"2","Cover Crops","Other Soil Properties","Soil Structure","Positive","Aggregate Stability","assumed societal benefit",NA,NA,NA,NA,NA
"3","Cover Crops","Other Soil Properties","Soil Structure","Positive","Air-Filled Pore Space","assumed societal benefit",NA,NA,NA,NA,"Air-filled pores -> Air-filled pore space"
"4","Cover Crops","Soil Nutrients","Nitrogen","Dependent on other factors","Ammonium","dependent on other factors",NA,NA,NA,NA,NA
"5","Cover Crops","Climate Mitigation","Carbon Emissions","Negative","Carbon Dioxide","assumed societal harm",NA,NA,NA,NA,NA
"6","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Clay Content","dependent on other factors",NA,NA,NA,NA,NA
"7","Cover Crops","Pests","Weeds","Negative","Cocklebur","assumed societal harm",NA,NA,NA,NA,NA
"8","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Compaction","assumed societal harm","Other Soil Properties","Soil Structure","Positive","assumed societal harm",NA
"9","Cover Crops","Crop Yields","Grain Production","Positive","Corn","assumed societal benefit",NA,NA,NA,NA,NA
"10","Cover Crops","Crop Yields","Stand Count","Positive","Corn","assumed societal benefit",NA,NA,NA,NA,NA
"11","Cover Crops","Crop Yields","Grain Quality","Positive","Corn Nitrogen Content","assumed societal benefit",NA,NA,NA,NA,NA
"12","Cover Crops","Pests","Invertebrate Pests","Negative","Corn Rootworm","assumed societal harm",NA,NA,NA,NA,NA
"13","Cover Crops","Crop Yields","Crop Growth","Positive","Corn Stalk Biomass","assumed societal benefit",NA,NA,NA,NA,NA
"14","Cover Crops","Crop Yields","Crop Nitrogen Content","Positive","Corn Stalk Nitrogen Content","assumed societal benefit",NA,NA,NA,NA,NA
"15","Cover Crops","Pests","Crop Damage","Negative","Damage Caused By Seed Corn Maggot","assumed societal harm","Crop Yields","Crop Damage","Negative","assumed societal harm",NA
"16","Cover Crops","Pests","Weeds","Negative","Dead Nettle","assumed societal harm",NA,NA,NA,NA,NA
"17","Cover Crops","Water Quality","Drainage","Positive","Drainage","assumed societal benefit",NA,NA,NA,NA,NA
"18","Cover Crops","Other Soil Properties","Biotic Factors","Positive","Enzyme Activity","assumed societal benefit",NA,NA,NA,NA,NA
"19","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Erosion","assumed societal harm",NA,NA,NA,NA,NA
"20","Cover Crops","Pests","Weeds","Negative","Foxtail","assumed societal harm",NA,NA,NA,NA,NA
"21","Cover Crops","Pests","Pest Natural Enemies","Positive","Aboveground Invertebrates","assumed societal benefit",NA,NA,NA,NA,NA
"22","Cover Crops","Pests","Pest Natural Enemies","Positive","Aboveground Invertebrates","assumed societal benefit",NA,NA,NA,NA,NA
"23","Cover Crops","Pests","Pest Natural Enemies","Positive","Invertebrate Non-Predator & Pests","assumed societal benefit",NA,NA,NA,NA,NA
"24","Cover Crops","Pests","Pest Natural Enemies","Positive","Invertebrate Predators","assumed societal benefit",NA,NA,NA,NA,NA
"25","Cover Crops","Pests","Pest Natural Enemies","Positive","Invertebrate Predator (Activity)","assumed societal benefit",NA,NA,NA,NA,NA
"26","Cover Crops","Pests","Pest Natural Enemies","Positive","Invertebrate Soil Community","assumed societal benefit","Other Soil Properties","Biotic Factors","Positive","assumed societal benefit",NA
"27","Cover Crops","Pests","Pest Natural Enemies","Positive","Invertebrate Soil Community (Diversity)","assumed societal benefit","Other Soil Properties","Biotic Factors","Positive","assumed societal benefit",NA
"28","Cover Crops","Other Soil Properties","Biotic Factors","Positive","Microbial Biomass","assumed societal benefit",NA,NA,NA,NA,NA
"29","Cover Crops","Water Quality","Nutrient Runoff","Negative","Nitrate","assumed societal harm",NA,NA,NA,NA,NA
"30","Cover Crops","Soil Nutrients","Nitrogen","Dependent on other factors","Nitrate","dependent on other factors",NA,NA,NA,NA,NA
"31","Cover Crops","Climate Mitigation","Growing Season Nitrogen Emissions","Negative","Nitrous Oxide","assumed societal harm",NA,NA,NA,NA,NA
"32","Cover Crops","Pests","Pathogens","Negative","Pathogens","assumed societal harm",NA,NA,NA,NA,NA
"33","Cover Crops","Other Soil Properties","Chemical Properties","Dependent on other factors","pH","dependent on other factors",NA,NA,NA,NA,NA
"34","Cover Crops","Water Quality","Nutrient Runoff","Negative","Phosphorus","assumed societal harm",NA,NA,NA,NA,NA
"35","Cover Crops","Soil Nutrients","Phosphorus & Potassium","Dependent on other factors","Phosphorus","dependent on other factors",NA,NA,NA,NA,NA
"36","Cover Crops","Pests","Weeds","Negative","Pigweed","assumed societal harm",NA,NA,NA,NA,NA
"37","Cover Crops","Soil Nutrients","Phosphorus & Potassium","Dependent on other factors","Potassium","assumed societal benefit",NA,NA,NA,NA,NA
"38","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Sand Content","dependent on other factors",NA,NA,NA,NA,NA
"39","Cover Crops","Pests","Invertebrate Pests","Negative","Seedcorn Maggot","assumed societal harm",NA,NA,NA,NA,NA
"40","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Silt Content","dependent on other factors",NA,NA,NA,NA,NA
"41","Cover Crops","Other Soil Properties","Physical Properties","Dependent on other factors","Soil Bulk Density","assumed societal harm",NA,NA,NA,NA,"Soil bulk density' -> ""Bulk density"""
"42","Cover Crops","Other Soil Properties","Abiotic Factors","Dependent on other factors","Soil Moisture","dependent on other factors",NA,NA,NA,NA,NA
"43","Cover Crops","Climate Mitigation","Carbon Storage","Positive","Soil Organic Carbon","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",NA
"44","Cover Crops","Other Soil Properties","Chemical Properties","Dependent on other factors","Soil Organic Matter Content","assumed societal benefit","Climate Mitigation","Carbon Storage","Positive","assumed societal benefit",NA
"45","Cover Crops","Other Soil Properties","Abiotic Factors","Dependent on other factors","Soil Temperature","dependent on other factors",NA,NA,NA,NA,NA
"46","Cover Crops","Crop Yields","Grain Production","Positive","Soybean","assumed societal benefit",NA,NA,NA,NA,NA
"47","Cover Crops","Crop Yields","Stand Count","Positive","Soybean","assumed societal benefit",NA,NA,NA,NA,NA
"48","Cover Crops","Pests","Invertebrate Pests","Negative","Soybean Aphid","assumed societal harm",NA,NA,NA,NA,NA
"49","Cover Crops","Pests","Nematodes","Negative","Soybean Cyst Nematode","assumed societal harm",NA,NA,NA,NA,NA
"50","Cover Crops","Crop Yields","Crop Nitrogen Content","Positive","Soybean Stalk Nitrogen Content","assumed societal benefit",NA,NA,NA,NA,NA
"51","Cover Crops","Soil Nutrients","Nitrogen","Dependent on other factors","Total Nitrogen","dependent on other factors",NA,NA,NA,NA,NA
"52","Cover Crops","Other Soil Properties","Soil Structure","Positive","Total Pore Space","assumed societal benefit",NA,NA,NA,NA,NA
