"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_trtspecifics","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","nutrient_groups","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Nutrient Management",120,"2008-2","1","1","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","2","NA",4190,"1","2",NA,5684,"1.0999999999999999E-2","1","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,35.66,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"2","Nutrient Management",120,"2008-2","1","1","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","3","NA",3514,"1","3",NA,4784,"1.0999999999999999E-2","1","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,36.14,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"3","Nutrient Management",120,"2008-2","2","2","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","2","NA",1151,"1","2",NA,2198,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,90.96,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"4","Nutrient Management",120,"2008-2","2","2","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","3","NA",1501,"1","3",NA,1410,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-6.06,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"5","Nutrient Management",120,"2008-2","2","3","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","2","NA",2984,"1","2",NA,2869,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-3.85,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"6","Nutrient Management",120,"2008-2","2","3","Crop Yields","Crop Nutrient Content","Corn Stalk Nitrogen Content","stalk nitrate",NA,NA,"NA","mg/kg","LSD","mean","0","3","NA",2293,"1","3",NA,2672,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,16.53,"Crop Yields | Crop Nutrient Content | Corn Stalk Nitrogen Content","Positive | assumed societal benefit"
"7","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","2","NA",15.56,"1","2",NA,15.94,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,2.44,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"8","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","3","NA",15.35,"1","3",NA,15.59,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,1.56,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"9","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","2","NA",13.54,"1","2",NA,13.67,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.96,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"10","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","3","NA",13.72,"1","3",NA,13.34,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-2.77,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"11","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","2","NA",15.88,"1","2",NA,15.91,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.19,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"12","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield",NA,NA,"NA","Mg/kg","LSD","mean","0","3","NA",15.31,"1","3",NA,15.37,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.39,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"13","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Quality","Corn Nitrogen Uptake","maize grain nitrogen uptake",NA,NA,"NA","kg/ha","LSD","mean","0","2","NA",206,"1","2",NA,217,"1E-3","1","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,5.34,"Crop Yields | Grain Quality | Corn Nitrogen Uptake","Positive | assumed societal benefit"
"14","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Quality","Corn Nitrogen Uptake","maize grain nitrogen uptake",NA,NA,"NA","kg/ha","LSD","mean","0","3","NA",204,"1","3",NA,211,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,3.43,"Crop Yields | Grain Quality | Corn Nitrogen Uptake","Positive | assumed societal benefit"
"15","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Quality","Corn Nitrogen Uptake","maize grain nitrogen uptake",NA,NA,"NA","kg/ha","LSD","mean","0","2","NA",176,"1","2",NA,175,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-0.57,"Crop Yields | Grain Quality | Corn Nitrogen Uptake","Positive | assumed societal benefit"
