"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_trtspecifics","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","nutrient_groups","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Nutrient Management",3000,"2011-3","1;2;3","1","Crop Yields","Grain Quality","Corn Grain Weight & Moisture Content","maize grain moisture","168 kg N/ha","NA","NA","g/kg","LSD","mean","0","NA","NA",191,"1","NA","NA",196,"ns","0","timing_fall_preplant","Fall","fall applied, 168 kg N/ha","Spring","spring applied, 168 kg N/ha","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.62,"Crop Yields | Grain Quality | Corn Grain Weight & Moisture Content","Positive | assumed societal benefit"
"2","Nutrient Management",3000,"2011-3","1;2;3","1","Crop Yields","Grain Quality","Corn Grain Weight & Moisture Content","maize grain test weight","168 kg N/ha","NA","NA","kg h/L","LSD","mean","0","NA","NA",68,"1","NA","NA",69.6,"ns","0","timing_fall_preplant","Fall","fall applied, 168 kg N/ha","Spring","spring applied, 168 kg N/ha","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.35,"Crop Yields | Grain Quality | Corn Grain Weight & Moisture Content","Positive | assumed societal benefit"
"3","Nutrient Management",3000,"2011-3","1;2;3","1","Crop Yields","Grain Quality","Corn Oil, Fiber, & Protein","maize grain oil content","168 kg N/ha","NA","NA","g/kg","LSD","mean","0","NA","NA",32.7,"1","NA","NA",31.7,"0.08","-1","timing_fall_preplant","Fall","fall applied, 168 kg N/ha","Spring","spring applied, 168 kg N/ha","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-3.06,"Crop Yields | Grain Quality | Corn Oil, Fiber, & Protein","Positive | assumed societal benefit"
"4","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","2","NA",206,"1","2","NA",217,"1E-3","1","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,5.34,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"5","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","3","NA",204,"1","3","NA",211,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,3.43,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"6","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","2","NA",176,"1","2","NA",175,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-0.57,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"7","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","2","NA",15.56,"1","2","NA",15.94,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,2.44,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"8","Nutrient Management",120,"2008-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","3","NA",15.35,"1","3","NA",15.59,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,1.56,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"9","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","2","NA",13.54,"1","2","NA",13.67,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.96,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"10","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","3","NA",13.72,"1","3","NA",13.34,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-2.77,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"11","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","2","NA",15.88,"1","2","NA",15.91,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.19,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
