"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Pest Management",85,"2006-2","1","1","Crop Yields","Crop Damage","Corn lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"2","NA",0,1,"2","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn lodging","NA | NA"
"2","Pest Management",85,"2006-2","2","2","Crop Yields","Crop Damage","Corn lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"3","NA",0,1,"3","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn lodging","NA | NA"
"3","Pest Management",83,"2011-3","2","1;2;3;4;5;6;7;8;9;10","Crop Yields","Stand Count","Soybean","soybean stand count (2 year average)","NA","NA","plants/ha","LSD","mean",0,"NA","NA",259000,11,"NA","NA",303000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,16.99,"Crop Yields | Stand Count | Soybean","NA | NA"
"4","Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"23","NA",141,17,"23","NA",143,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Other Insecticides","Soil",NA,NA,NA,NA,NA,NA,1.42,"Crop Yields | Grain Production | Corn","NA | NA"
"5","Pest Management",83,"2011-3","3","1;2;3;4;5;6;7;8;9;10","Crop Yields","Stand Count","Soybean","soybean stand count","NA","NA","plants/ha","LSD","mean",0,"NA","NA",220000,11,"NA","NA",265000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,20.45,"Crop Yields | Stand Count | Soybean","NA | NA"
"6","Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"24","NA",151,17,"24","NA",153,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Other Insecticides","Soil",NA,NA,NA,NA,NA,NA,1.32,"Crop Yields | Grain Production | Corn","NA | NA"
"7","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,1,"NA","NA",38.31,"ns","untreated_seedI","untreated","untreated soybean","clothianidin","soybean seed treated with clothianidin (47.32 ml ai/kg)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-21.08,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"8","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,8,"NA","NA",47.21,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,9.03,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"9","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,8,"NA","NA",30.66,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,7.02,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"10","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,5,"NA","NA",45.73,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-5.79,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"11","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,5,"NA","NA",42.2,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-2.54,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"12","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,5,"NA","NA",30.38,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,6.04,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"13","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,7,"NA","NA",44.16,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar",NA,NA,NA,NA,NA,NA,-9.02,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"14","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,7,"NA","NA",40.8,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar",NA,NA,NA,NA,NA,NA,-5.77,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"15","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,7,"NA","NA",27.36,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar",NA,NA,NA,NA,NA,NA,-4.5,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"16","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,6,"NA","NA",44.72,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-7.87,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"17","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,6,"NA","NA",39.8,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-8.08,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"18","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,6,"NA","NA",30.04,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,4.85,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"19","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,2,"NA","NA",33.82,"0.05","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-30.33,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"20","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,2,"NA","NA",40.5,"ns","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-6.47,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"21","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,2,"NA","NA",26.53,"ns","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-7.4,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"22","Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,4,"NA","NA",41.97,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-13.54,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
