"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,2,"NA","NA",13044.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,8.82,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"2","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,2,"NA","NA",259.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-48.48,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"3","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,2,"NA","NA",13529.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,12.04,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"4","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,2,"NA","NA",340.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,2.01,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"5","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,2,"NA","NA",11281.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-11.72,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"6","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,2,"NA","NA",804.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,1480.75,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"7","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12533.4,2,"NA","NA",13344.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,6.47,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"8","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",202.3,2,"NA","NA",243.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,20.22,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"9","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11458.1,2,"NA","NA",12317.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,7.5,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"10","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",187,2,"NA","NA",782,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,318.18,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"11","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",10841.1,2,"NA","NA",11193.7,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,3.25,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"12","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",139.4,2,"NA","NA",107.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-22.6,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"13","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11281.8,2,"NA","NA",11590.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,2.73,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"14","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",160.9,2,"NA","NA",84.4,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-47.55,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"15","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11546.3,2,"NA","NA",11546.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,0,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"16","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",152.6,2,"NA","NA",233.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,52.82,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"17","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-4.41,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
